authorId,name
2920443,Diptesh Kanojia
49969771,Zhuang Li
146950185,Haolan Zhan
2561045,Gholamreza Haffari
2279023714,Doris Dippold
65811175,John W. Ricketts
2286365882,David Barry
2244151777,Weisi Guo
2286630265,Jonathan Pelham
2112539433,Shangyu Wu
2303313918,Ying Xiong
2301404967,Yufei Cui
107747459,Haolun Wu
2243412535,Can Chen
2283264350,Ye Yuan
2303518782,Lianming Huang
2272581493,Xue Liu
2271790635,Tei-Wei Kuo
2290008872,Nan Guan
2302177675,C. Xue
7675229,Simona Frenda
2302559755,Gavin Abercrombie
2268499393,Valerio Basile
2221286748,Alessandro Pedrani
67233604,Raffaella Panizzon
29909892,Alessandra Teresa Cignarella
2268499150,Cristina Marco
2268499234,Davide Bernardi
2267793864,Alireza Shamshiri
147249407,K. Ryu
2267803816,June Young Park
2116878678,Anna Schmidt
144036063,Michael Wiegand
145104486,Daniel King
46181066,Iz Beltagy
145585097,Bridger Waleed Ammar
2805349,A. Zubiaga
2120660850,Elias Hossain
1814487,R. Rana
32395806,N. Higgins
32798688,J. Soar
30691907,P. Barua
40641866,Anthony R. Pisani
80172459,K. Turner
2471699,Emily M. Bender
144029598,Batya Friedman
3644767,Samuel R. Bowman
32301760,Gabor Angeli
144922861,Christopher Potts
2067510131,Diksha Khurana
2406284355,Aditya Koli
3086273,Kiran Khatter
2109039377,Sukhdev Singh
46219923,Albert Villanova del Moral
2262249,Yacine Jernite
1563206882,A. Thakur
2113317708,Suraj Patil
2072250824,Lewis Tunstall
2125821515,Mario vSavsko
1509809381,Gunjan Chhablani
2081608023,Bhavitvya Malik
1929563111,Simon Brandeis
2285868436,Victor Sanh
66247317,Canwen Xu
31614549,N. Patry
1584940075,Angelina McMillan-Major
47261946,Philipp Schmid
2125822087,Th'eo Matussiere
32136590,Stas Bekman
2125818023,Thibault Goehringer
2125811887,Victor Mustar
2083688752,François Lagunas
2531268,Alexander M. Rush
50335211,Thomas Wolf
2699239,Yifan Peng
7189717,Shankai Yan
144202084,Zhiyong Lu
21780262,Rajkumar Ramamurthy
19179135,Prithviraj Ammanabrolu
11963742,Kianté Brantley
2689239,Jack Hessel
2018549,R. Sifa
1692283,C. Bauckhage
2548384,Hannaneh Hajishirzi
1699545,Yejin Choi
48771891,Qingyu Chen
2111146103,Jingcheng Du
2113665949,Yan Hu
65893930,V. Keloth
66443850,Xueqing Peng
145722048,Kalpana Raja
144142354,Rui Zhang
2152217328,Zhiyong Lu
2109366017,Huan Xu
9416328,Tianlin Zhang
33858862,Annika Marie Schoene
51394448,Shaoxiong Ji
1881965,S. Ananiadou
2008191108,Wannaphong Phatthiyaphaibun
1484790332,Korakot Chaovavanich
122556419,Charin Polpanumas
1875325,Arthit Suriyawongkul
1796312599,Lalita Lowphansirikul
83079175,Pattarawat Chormai
1596821065,Peerat Limkonchotiwat
2269460977,Thanathip Suntorntip
35331861,Can Udomcharoenchaikit
3430858,Walid Hariri
52011733,Moatsum Alawida
71557089,S. Mejri
2179659049,Abid Mehmood
2026478,B. Chikhaoui
46207123,Oludare Isaac Abiodun
2339161433,Matteo Malgaroli
2238727770,Thomas D. Hull
101382727,Jamie M. Zech
2255041893,Tim Althoff
40483594,Wenpeng Yin
3422953,Katharina Kann
