from,to,corresponding
2316152847,1f102935cc21d54f91ae70c09d84157b6011e6dd,false
88127261,57dfc18815bba1c3737dbc2e5497fd1fc595edb5,true
101317594,57dfc18815bba1c3737dbc2e5497fd1fc595edb5,false
10161447,57dfc18815bba1c3737dbc2e5497fd1fc595edb5,false
3347596,57dfc18815bba1c3737dbc2e5497fd1fc595edb5,false
34432478,57dfc18815bba1c3737dbc2e5497fd1fc595edb5,false
46403083,57dfc18815bba1c3737dbc2e5497fd1fc595edb5,false
2107886861,57dfc18815bba1c3737dbc2e5497fd1fc595edb5,false
2857653,57dfc18815bba1c3737dbc2e5497fd1fc595edb5,false
2182614,57dfc18815bba1c3737dbc2e5497fd1fc595edb5,false
5939425,57dfc18815bba1c3737dbc2e5497fd1fc595edb5,false
2911201,57dfc18815bba1c3737dbc2e5497fd1fc595edb5,false
2111700,57dfc18815bba1c3737dbc2e5497fd1fc595edb5,false
1960487,41dc9b29c37f38005a27b6d33ca4b69882b03caf,true
4066509,41dc9b29c37f38005a27b6d33ca4b69882b03caf,false
40325709,41dc9b29c37f38005a27b6d33ca4b69882b03caf,false
1818609,41dc9b29c37f38005a27b6d33ca4b69882b03caf,false
35808971,41dc9b29c37f38005a27b6d33ca4b69882b03caf,false
2790610,41dc9b29c37f38005a27b6d33ca4b69882b03caf,false
2647022,41dc9b29c37f38005a27b6d33ca4b69882b03caf,false
1881190,41dc9b29c37f38005a27b6d33ca4b69882b03caf,false
145963370,f7279b6f6e88eda849cd3d75d3389c258bf62b7c,true
2052291510,f7279b6f6e88eda849cd3d75d3389c258bf62b7c,false
2254232,f7279b6f6e88eda849cd3d75d3389c258bf62b7c,false
30098355,cd1db6d29b6d0ab35e45575ff06749ed590af44f,true
2707436,cd1db6d29b6d0ab35e45575ff06749ed590af44f,false
47887900,cd1db6d29b6d0ab35e45575ff06749ed590af44f,false
1404725120,cd1db6d29b6d0ab35e45575ff06749ed590af44f,false
6912195,cd1db6d29b6d0ab35e45575ff06749ed590af44f,false
2540903,cd1db6d29b6d0ab35e45575ff06749ed590af44f,false
1749862,804b145ebe0854b00358989446b0b85c4dd9aa28,true
144430191,804b145ebe0854b00358989446b0b85c4dd9aa28,false
2208192,804b145ebe0854b00358989446b0b85c4dd9aa28,false
2629601,facd863386054246043a6d0f0aa2baef3d1c806d,true
3121130,facd863386054246043a6d0f0aa2baef3d1c806d,false
1708928,facd863386054246043a6d0f0aa2baef3d1c806d,false
1684379,facd863386054246043a6d0f0aa2baef3d1c806d,false
1746173,facd863386054246043a6d0f0aa2baef3d1c806d,false
48412941,8a5c928107034c807d9ae8f8dab6b4b89f7b6889,true
3090600,8a5c928107034c807d9ae8f8dab6b4b89f7b6889,false
1961334,8a5c928107034c807d9ae8f8dab6b4b89f7b6889,false
51006560,ceee6447b291f8052a28c9eb00ca360d6f39f9b1,true
153059490,ceee6447b291f8052a28c9eb00ca360d6f39f9b1,false
31883087,ceee6447b291f8052a28c9eb00ca360d6f39f9b1,false
2161352,ceee6447b291f8052a28c9eb00ca360d6f39f9b1,false
38913020,ceee6447b291f8052a28c9eb00ca360d6f39f9b1,false
2758539,ceee6447b291f8052a28c9eb00ca360d6f39f9b1,false
1727915,ceee6447b291f8052a28c9eb00ca360d6f39f9b1,false
49229323,ceee6447b291f8052a28c9eb00ca360d6f39f9b1,false
88886095,ceee6447b291f8052a28c9eb00ca360d6f39f9b1,false
3534315,ceee6447b291f8052a28c9eb00ca360d6f39f9b1,false
2282455043,ceee6447b291f8052a28c9eb00ca360d6f39f9b1,false
2544559,ceee6447b291f8052a28c9eb00ca360d6f39f9b1,false
1737944,7a350beede1b8eda39ce22bca62732bcd6677ebd,true
144337823,7a350beede1b8eda39ce22bca62732bcd6677ebd,false
2076781271,aae0cdee99c3eca297f18f89c4b03b69c43fada8,true
71528823,aae0cdee99c3eca297f18f89c4b03b69c43fada8,false
2103322,6ee315ef7f293eeb37b3be507dd2553a898b97cb,true
35402391,6ee315ef7f293eeb37b3be507dd2553a898b97cb,false
9920580,6ee315ef7f293eeb37b3be507dd2553a898b97cb,false
2085387378,6ee315ef7f293eeb37b3be507dd2553a898b97cb,false
1746338,28e702e1a352854cf0748b9a6a9ad6679b1d4e83,true
144779196,28e702e1a352854cf0748b9a6a9ad6679b1d4e83,false
2311838,28e702e1a352854cf0748b9a6a9ad6679b1d4e83,false
3279660,28e702e1a352854cf0748b9a6a9ad6679b1d4e83,false
35030780,0df232d3dc8c869f8b817bf8a34e7afa8bd7e248,true
35396082,0df232d3dc8c869f8b817bf8a34e7afa8bd7e248,false
69034840,b02d2cf90e5b06e3278e23e7984c29b0307c5ef3,true
1743316,a401596b7c337afefe0ea228ef9cd4908429b43a,true
1915196,a401596b7c337afefe0ea228ef9cd4908429b43a,false
144018773,a401596b7c337afefe0ea228ef9cd4908429b43a,false
2052291510,9748241beb02ef1e2d0e6dc877c04b354033a838,true
34489526,9748241beb02ef1e2d0e6dc877c04b354033a838,false
2733541,9748241beb02ef1e2d0e6dc877c04b354033a838,false
33591970,9748241beb02ef1e2d0e6dc877c04b354033a838,false
1939058,9748241beb02ef1e2d0e6dc877c04b354033a838,false
2254232,9748241beb02ef1e2d0e6dc877c04b354033a838,false
2254232,3d4ff184faa4a876324a5c1ed880eed348381ea0,true
1687211,3d4ff184faa4a876324a5c1ed880eed348381ea0,false
2367532,3d4ff184faa4a876324a5c1ed880eed348381ea0,false
2203901,3d4ff184faa4a876324a5c1ed880eed348381ea0,false
144478906,3d4ff184faa4a876324a5c1ed880eed348381ea0,false
2772109,5bfae15ad73d4bfbc25b90c731a3d3dd44f2774c,true
1403335961,5bfae15ad73d4bfbc25b90c731a3d3dd44f2774c,false
1401001967,5bfae15ad73d4bfbc25b90c731a3d3dd44f2774c,false
1397440487,5bfae15ad73d4bfbc25b90c731a3d3dd44f2774c,false
1742391,a6e72ff479fb58f0b714f07b0292c612dfe4ff05,true
1701332,a109832e814be45bcfa9ba3eee2f6313267a37d5,true
144514871,a109832e814be45bcfa9ba3eee2f6313267a37d5,false
2093444,a109832e814be45bcfa9ba3eee2f6313267a37d5,false
1685455,a109832e814be45bcfa9ba3eee2f6313267a37d5,false
2066145,8c8b7c1adb6f077bb3045928767b8bc6763e0c06,true
3025861,8c8b7c1adb6f077bb3045928767b8bc6763e0c06,false
32960372,8c8b7c1adb6f077bb3045928767b8bc6763e0c06,false
2148457826,8c8b7c1adb6f077bb3045928767b8bc6763e0c06,false
145644556,8c8b7c1adb6f077bb3045928767b8bc6763e0c06,false
2108101280,8c8b7c1adb6f077bb3045928767b8bc6763e0c06,false
1871617,8c8b7c1adb6f077bb3045928767b8bc6763e0c06,false
145529134,8c8b7c1adb6f077bb3045928767b8bc6763e0c06,false
2844123,8c8b7c1adb6f077bb3045928767b8bc6763e0c06,false
33147958,8c8b7c1adb6f077bb3045928767b8bc6763e0c06,false
2907098,8c8b7c1adb6f077bb3045928767b8bc6763e0c06,false
143784376,8c8b7c1adb6f077bb3045928767b8bc6763e0c06,false
145212464,8c8b7c1adb6f077bb3045928767b8bc6763e0c06,false
144545434,8c8b7c1adb6f077bb3045928767b8bc6763e0c06,false
2112561785,8c8b7c1adb6f077bb3045928767b8bc6763e0c06,false
2564432,8c8b7c1adb6f077bb3045928767b8bc6763e0c06,false
2002213,8c8b7c1adb6f077bb3045928767b8bc6763e0c06,false
1398597165,8c8b7c1adb6f077bb3045928767b8bc6763e0c06,false
3141411,8c8b7c1adb6f077bb3045928767b8bc6763e0c06,false
143719768,8c8b7c1adb6f077bb3045928767b8bc6763e0c06,false
3261602,8c8b7c1adb6f077bb3045928767b8bc6763e0c06,false
143686063,8c8b7c1adb6f077bb3045928767b8bc6763e0c06,false
2725767,8c8b7c1adb6f077bb3045928767b8bc6763e0c06,false
33591970,080768569d459d4297610aabdd431feca166a603,true
2052291510,080768569d459d4297610aabdd431feca166a603,false
2254232,080768569d459d4297610aabdd431feca166a603,false
1748177,83a500fcc7cd98db063b73461277ac885c8fe7c3,true
143614516,83a500fcc7cd98db063b73461277ac885c8fe7c3,false
1745794,83a500fcc7cd98db063b73461277ac885c8fe7c3,false
3182544,d2272dd9ff850edc448f7fde86eef6bcd57af2cc,true
32742013,d2272dd9ff850edc448f7fde86eef6bcd57af2cc,false
2203323651,d2272dd9ff850edc448f7fde86eef6bcd57af2cc,false
87985665,d2272dd9ff850edc448f7fde86eef6bcd57af2cc,false
144994451,d2272dd9ff850edc448f7fde86eef6bcd57af2cc,false
48064260,d2272dd9ff850edc448f7fde86eef6bcd57af2cc,false
34793903,d2272dd9ff850edc448f7fde86eef6bcd57af2cc,false
1765659,ef47742e72bd64fb1ae5359cd6d5dd6dfad34dc8,true
38793222,ef47742e72bd64fb1ae5359cd6d5dd6dfad34dc8,false
1709794,ef47742e72bd64fb1ae5359cd6d5dd6dfad34dc8,false
26774571,ef47742e72bd64fb1ae5359cd6d5dd6dfad34dc8,false
145345023,ef47742e72bd64fb1ae5359cd6d5dd6dfad34dc8,false
145345545,ef47742e72bd64fb1ae5359cd6d5dd6dfad34dc8,false
1742391,5ab169aed6e76c20621a23c411f651aac423efe3,true
153314745,2de0a40e9a5d4f1feb07d61af5a5d87a069653f0,true
145325584,2de0a40e9a5d4f1feb07d61af5a5d87a069653f0,false
144019071,2de0a40e9a5d4f1feb07d61af5a5d87a069653f0,false
2136107368,03d86d8e642f7e599e5eedfd93634f16d175dfd3,true
50177381,03d86d8e642f7e599e5eedfd93634f16d175dfd3,false
46969408,03d86d8e642f7e599e5eedfd93634f16d175dfd3,false
2116928621,03d86d8e642f7e599e5eedfd93634f16d175dfd3,false
2112897213,03d86d8e642f7e599e5eedfd93634f16d175dfd3,false
2152164720,03d86d8e642f7e599e5eedfd93634f16d175dfd3,false
2108692564,03d86d8e642f7e599e5eedfd93634f16d175dfd3,false
2155412720,03d86d8e642f7e599e5eedfd93634f16d175dfd3,false
2118118699,03d86d8e642f7e599e5eedfd93634f16d175dfd3,false
12619004,a25e5dd514da814123a523f0f06f5c0cc54edd0f,true
1680709,a25e5dd514da814123a523f0f06f5c0cc54edd0f,false
1781993,a25e5dd514da814123a523f0f06f5c0cc54edd0f,false
1705151,75b9439acd27910afc45f8092d416860dca4b05b,true
144255847,75b9439acd27910afc45f8092d416860dca4b05b,false
1856878,af62ebcc82d4a20012d298612812a299ce8e4446,true
2640561,af62ebcc82d4a20012d298612812a299ce8e4446,false
1873976,af62ebcc82d4a20012d298612812a299ce8e4446,false
1704622,af62ebcc82d4a20012d298612812a299ce8e4446,false
145527641,af62ebcc82d4a20012d298612812a299ce8e4446,false
1709411,af62ebcc82d4a20012d298612812a299ce8e4446,false
1746961,e54414dca2e8bc0da410db0b7d08fee4651d2357,true
79404966,e54414dca2e8bc0da410db0b7d08fee4651d2357,false
2638246,e54414dca2e8bc0da410db0b7d08fee4651d2357,false
2226805,e54414dca2e8bc0da410db0b7d08fee4651d2357,false
66851124,e54414dca2e8bc0da410db0b7d08fee4651d2357,false
39224358,e54414dca2e8bc0da410db0b7d08fee4651d2357,false
144478906,e54414dca2e8bc0da410db0b7d08fee4651d2357,false
2512621,e54414dca2e8bc0da410db0b7d08fee4651d2357,false
2335477,e54414dca2e8bc0da410db0b7d08fee4651d2357,false
2254232,e2a5593f587970018b9e826e5d876125b374b801,true
144478906,e2a5593f587970018b9e826e5d876125b374b801,false
115513269,e2a5593f587970018b9e826e5d876125b374b801,false
1747943,a4d965361223e4a9aaf010eb5a3d8e1673d11c19,true
2057505176,a4d965361223e4a9aaf010eb5a3d8e1673d11c19,false
1682028,a4d965361223e4a9aaf010eb5a3d8e1673d11c19,false
9521597,a4d965361223e4a9aaf010eb5a3d8e1673d11c19,false
145932397,a4d965361223e4a9aaf010eb5a3d8e1673d11c19,false
2274743,a4d965361223e4a9aaf010eb5a3d8e1673d11c19,false
2152202664,f8eb219e68979fafff3ffa889c2c4c99309a8927,true
2070069813,f8eb219e68979fafff3ffa889c2c4c99309a8927,false
1751603,f8eb219e68979fafff3ffa889c2c4c99309a8927,false
1918852,839c069fc576c816b89d84aa7c18849874de486a,true
2341667,839c069fc576c816b89d84aa7c18849874de486a,false
2784885,839c069fc576c816b89d84aa7c18849874de486a,false
1886337,839c069fc576c816b89d84aa7c18849874de486a,false
3096267,839c069fc576c816b89d84aa7c18849874de486a,false
2685551,839c069fc576c816b89d84aa7c18849874de486a,false
38220252,839c069fc576c816b89d84aa7c18849874de486a,false
